Model,Dataset,Function,Epochs,Embedding Dims,Batch Size,Margin,Loss,Mean Rank,MRR,Hits@1,Hits@5,Hits@10
TransEUncertainty,datasets/UMLS_ranked_appearances___with_confidence.csv,train_and_evaluate,10,4,16,1.0,7.014606697079928,50.214394,0.059613932,0.010719754977029096,0.06738131699846861,0.1225114854517611
DistMultUncertainty,datasets/UMLS_ranked_appearances___with_confidence.csv,train_and_evaluate,10,4,16,1.0,8.446477747481802,68.47167,0.038432833,0.006125574272588055,0.02909647779479326,0.07044410413476264
ComplExUncertainty,datasets/UMLS_ranked_appearances___with_confidence.csv,train_and_evaluate,10,4,16,1.0,0.6562619221234776,66.92496171516079,0.0382559079907811,0.006125574272588055,0.033690658499234305,0.06584992343032159
RotatEUncertainty,datasets/UMLS_ranked_appearances___with_confidence.csv,train_and_evaluate,10,4,16,1.0,0.26760725209327496,36.32465362548828,0.07897716760635376,0.01225114854517611,0.0903522205206738,0.19601838290691376
TransE,train_and_evaluate,UMLS,10,4,16,N/A,0.9633306640605985,N/A,0.047844093292951584,0.012102874432677761,0.03555219364599092,0.08396369137670197
DistMult,train_and_evaluate,UMLS,10,4,16,N/A,1.018620875715478,N/A,0.04712388664484024,0.009077155824508321,0.05219364599092285,0.094553706505295
ComplEx,train_and_evaluate,UMLS,10,4,16,N/A,0.8197118329124217,N/A,0.03345254063606262,0.0030257186081694403,0.0264750378214826,0.06354009077155824
RotatE,train_and_evaluate,UMLS,10,4,16,N/A,0.6800710323032426,N/A,0.08666161447763443,0.019667170953101363,0.09984871406959153,0.2216338880484115
