Model,Dataset,Function,Epochs,Embedding Dims,Batch Size,Margin,Loss,Mean Rank,MRR,Hits@1,Hits@5,Hits@10
TransEUncertainty,datasets/UMLS_model__DistMult_with_confidence.csv,train_and_evaluate_softplus,100,50,16,1.0,nan,62.324654,0.051599365,0.019908116385911178,0.03828483920367534,0.0781010719754977
DistMultUncertainty,datasets/UMLS_model__DistMult_with_confidence.csv,train_and_evaluate_softplus,100,50,16,1.0,0.958763981157023,69.82848,0.029172312,0.0,0.022970903522205207,0.04134762633996937
ComplExUncertainty,datasets/UMLS_model__DistMult_with_confidence.csv,train_and_evaluate_softplus,100,50,16,1.0,6.079151550064916,67.81316998468607,0.03571285443673696,0.0030627871362940277,0.03522205206738132,0.06738131699846861
TransE,UMLS,train_and_evaluate_softplus,100,50,16,N/A,0.14752155085282823,N/A,0.18436214327812195,0.046142208774583963,0.3010590015128593,0.5234493192133132
DistMult,UMLS,train_and_evaluate_softplus,100,50,16,N/A,0.5252044383733551,N/A,0.18991386890411377,0.05143721633888049,0.3033282904689864,0.56732223903177
ComplEx,UMLS,train_and_evaluate_softplus,100,50,16,N/A,0.2783912218467224,N/A,0.12589627504348755,0.024205748865355523,0.15128593040847202,0.38729198184568836
