Model,Dataset,Function,Epochs,Embedding Dims,Batch Size,Margin,Loss,Mean Rank,MRR,Hits@1,Hits@5,Hits@10
TransEUncertainty,datasets/paper_bounded_UMLS.csv,train_and_evaluate_divergence,100,50,16,1.0,0.3097695509862641,64.140884,0.034176685,0.0,0.026033690658499236,0.07044410413476264
DistMultUncertainty,datasets/paper_bounded_UMLS.csv,train_and_evaluate_divergence,100,50,16,1.0,0.00020907213784875753,44.24502,0.07216141,0.0030627871362940277,0.0995405819295559,0.19448698315467075
ComplExUncertainty,datasets/paper_bounded_UMLS.csv,train_and_evaluate_divergence,100,50,16,1.0,0.8183959193689667,67.13782542113323,0.037814361046940845,0.006125574272588055,0.03215926493108729,0.06891271056661562
TransE,UMLS,train_and_evaluate_divergence,100,50,16,N/A,0.1506687363415408,N/A,0.19024103879928586,0.05143721633888049,0.31164901664145234,0.5544629349470499
DistMult,UMLS,train_and_evaluate_divergence,100,50,16,N/A,0.5145592604495265,N/A,0.20297273993492126,0.07110438729198185,0.3093797276853253,0.5574886535552194
ComplEx,UMLS,train_and_evaluate_divergence,100,50,16,N/A,0.28789403209565606,N/A,0.12108795344829558,0.02193645990922844,0.14069591527987896,0.3789712556732224
