Model,Dataset,Function,Epochs,Embedding Dims,Batch Size,Margin,Loss,Mean Rank,MRR,Hits@1,Hits@5,Hits@10
TransEUncertainty,datasets/UMLS_agree___with_confidence.csv,train_and_evaluate_contrastive,100,50,16,1.0,0.26601984189904254,15.8483925,0.1484118,0.027565084226646247,0.21439509954058192,0.43032159264931086
DistMultUncertainty,datasets/UMLS_agree___with_confidence.csv,train_and_evaluate_contrastive,100,50,16,1.0,0.21555035902470673,48.18989,0.06620671,0.0,0.10413476263399694,0.1990811638591118
ComplExUncertainty,datasets/UMLS_agree___with_confidence.csv,train_and_evaluate_contrastive,100,50,16,1.0,5.606788901531178,70.09494640122512,0.03944470744135497,0.0015313935681470138,0.045941807044410414,0.08422664624808576
TransE,UMLS,train_and_evaluate_contrastive,100,50,16,N/A,0.16212535452988983,N/A,0.18882860243320465,0.049924357034795766,0.31164901664145234,0.5453857791225416
DistMult,UMLS,train_and_evaluate_contrastive,100,50,16,N/A,0.513244396064179,N/A,0.20144236087799072,0.06429652042360061,0.3124054462934947,0.5537065052950075
ComplEx,UMLS,train_and_evaluate_contrastive,100,50,16,N/A,0.2850017045264595,N/A,0.11992323398590087,0.014372163388804841,0.14826021180030258,0.3880484114977307
