Model,Dataset,Function,Epochs,Embedding Dims,Batch Size,Margin,Loss,Mean Rank,MRR,Hits@1,Hits@5,Hits@10
TransEUncertainty,datasets/paper_logistic_UMLS.csv,train_and_evaluate_gaussian,100,50,16,1.0,1.5082067830245132,19.995405,0.17885078,0.04900459418070444,0.2787136294027565,0.450229709035222
DistMultUncertainty,datasets/paper_logistic_UMLS.csv,train_and_evaluate_gaussian,100,50,16,1.0,-0.17976872819354353,44.588055,0.0702301,0.0,0.09647779479326186,0.21745788667687596
ComplExUncertainty,datasets/paper_logistic_UMLS.csv,train_and_evaluate_gaussian,100,50,16,1.0,48.33135767086692,67.02143950995406,0.03837500889719966,0.004594180704441042,0.036753445635528334,0.06431852986217458
TransE,UMLS,train_and_evaluate_gaussian,100,50,16,N/A,0.16442273182371642,N/A,0.18640725314617157,0.04084720121028744,0.31921331316187596,0.5582450832072617
DistMult,UMLS,train_and_evaluate_gaussian,100,50,16,N/A,0.5197920066995855,N/A,0.19461639225482943,0.058245083207261725,0.32223903177004537,0.5423600605143721
ComplEx,UMLS,train_and_evaluate_gaussian,100,50,16,N/A,0.29082405530601924,N/A,0.12747201323509216,0.031013615733736764,0.14901664145234494,0.3751891074130106
