Model,Dataset,Function,Epochs,Embedding Dims,Batch Size,Margin,Loss,Mean Rank,MRR,Hits@1,Hits@5,Hits@10
TransEUncertainty,datasets/UMLS_average___with_confidence.csv,train_and_evaluate,10,4,16,1.0,5.4306459073382225,53.041348,0.059844013,0.018376722817764167,0.05819295558958652,0.10413476263399694
DistMultUncertainty,datasets/UMLS_average___with_confidence.csv,train_and_evaluate,10,4,16,1.0,5.266694272989812,67.872894,0.03269207,0.0015313935681470138,0.022970903522205207,0.05972434915773354
ComplExUncertainty,datasets/UMLS_average___with_confidence.csv,train_and_evaluate,10,4,16,1.0,0.4401718626892113,67.28637059724349,0.03682556944996698,0.007656967840735069,0.03215926493108729,0.05972434915773354
RotatEUncertainty,datasets/UMLS_average___with_confidence.csv,train_and_evaluate,10,4,16,1.0,0.21310015370988328,37.53292465209961,0.08352646231651306,0.018376722817764167,0.09800918836140889,0.20214395225048065
TransE,train_and_evaluate,UMLS,10,4,16,N/A,0.9531031321345663,N/A,0.05354880541563034,0.012102874432677761,0.056732223903177004,0.10741301059001512
DistMult,train_and_evaluate,UMLS,10,4,16,N/A,1.0195948657082634,N/A,0.038224346935749054,0.0045385779122541605,0.03252647503782148,0.07413010590015129
ComplEx,train_and_evaluate,UMLS,10,4,16,N/A,0.8654530510946286,N/A,0.0337686687707901,0.0045385779122541605,0.024205748865355523,0.05219364599092285
RotatE,train_and_evaluate,UMLS,10,4,16,N/A,0.6860064861873176,N/A,0.07961427420377731,0.01361573373676248,0.09833585476550681,0.1928895612708018
