Model,Dataset,Function,Epochs,Embedding Dims,Batch Size,Margin,Loss,Mean Rank,MRR,Hits@1,Hits@5,Hits@10
TransEUncertainty,datasets/UMLS_random_[0;0.5]__with_confidence.csv,train_and_evaluate,1,50,512,1.0,468.92596944173175,66.71056,0.039648704,0.0,0.05206738131699847,0.09341500765696784
DistMultUncertainty,datasets/UMLS_random_[0;0.5]__with_confidence.csv,train_and_evaluate,1,50,512,1.0,537.2857538859049,66.9709,0.032109566,0.0,0.02909647779479326,0.055130168453292494
ComplExUncertainty,datasets/UMLS_random_[0;0.5]__with_confidence.csv,train_and_evaluate,1,50,512,1.0,2.164854198694229,66.28790199081163,0.0404286257437846,0.007656967840735069,0.03522205206738132,0.05666156202143951
TransE,UMLS,train_and_evaluate,1,50,512,N/A,1.1533076979897239,N/A,0.0351380817592144,0.0,0.03479576399394856,0.0718608169440242
DistMult,UMLS,train_and_evaluate,1,50,512,N/A,1.0285690372640437,N/A,0.032204095274209976,0.0022692889561270802,0.025718608169440244,0.06278366111951589
ComplEx,UMLS,train_and_evaluate,1,50,512,N/A,5.693209214643999,N/A,0.03424675762653351,0.0037821482602118004,0.024205748865355523,0.059757942511346446
