Model,Dataset,Function,Epochs,Embedding Dims,Batch Size,Margin,Loss,Mean Rank,MRR,Hits@1,Hits@5,Hits@10
TransEUncertainty,datasets/paper_logistic_UMLS.csv,train_and_evaluate,1,50,16,1.0,37.277513974386714,61.425728,0.043720428,0.0,0.05206738131699847,0.09188361408882083
DistMultUncertainty,datasets/paper_logistic_UMLS.csv,train_and_evaluate,1,50,16,1.0,46.36492763816015,68.62481,0.03166825,0.0,0.02450229709035222,0.06738131699846861
ComplExUncertainty,datasets/paper_logistic_UMLS.csv,train_and_evaluate,1,50,16,1.0,5.166040012369985,68.99234303215927,0.033137772998174234,0.0030627871362940277,0.021439509954058193,0.05053598774885146
TransE,UMLS,train_and_evaluate,1,50,16,N/A,1.0722605827395901,N/A,0.04314915090799332,0.0,0.04311649016641452,0.10287443267776097
DistMult,UMLS,train_and_evaluate,1,50,16,N/A,1.024195229348961,N/A,0.041448142379522324,0.00832072617246596,0.03328290468986384,0.07337367624810892
ComplEx,UMLS,train_and_evaluate,1,50,16,N/A,5.594210958188297,N/A,0.038076721131801605,0.0045385779122541605,0.03328290468986384,0.07337367624810892
