Model,Dataset,Epochs,Embedding Dims,Batch Size,Margin,Loss,Mean Rank,MRR,Hits@1,Hits@5,Hits@10
TransEUncertainty,datasets/paper_bounded_UMLS.csv,5,6,16,1.0,inf,58.425728,0.058507618,0.018376722817764167,0.06125574272588055,0.10413476263399694
DistMultUncertainty,datasets/paper_bounded_UMLS.csv,5,6,16,1.0,inf,62.67994,0.040524364,0.004594180704441042,0.033690658499234305,0.07503828483920368
ComplExUncertainty,datasets/paper_bounded_UMLS.csv,5,6,16,1.0,inf,68.64777947932619,0.037715317699563114,0.007656967840735069,0.033690658499234305,0.06738131699846861
RotatEUncertainty,datasets/paper_bounded_UMLS.csv,5,6,16,1.0,inf,41.548240661621094,0.07888773083686829,0.016845329249617153,0.0888208269525268,0.20673812925815582
TransE,UMLS,5,6,16,N/A,1.0111771492870307,N/A,0.045247845351696014,0.009077155824508321,0.040090771558245086,0.08850226928895613
