Model,Dataset,Epochs,Embedding Dims,Batch Size,Margin,Loss,Mean Rank,MRR,Hits@1,Hits@5,Hits@10
TransEUncertainty,datasets/paper_bounded_UMLS.csv,5,6,16,1.0,inf,59.456356,0.056434643,0.018376722817764167,0.05972434915773354,0.10413476263399694
DistMultUncertainty,datasets/paper_bounded_UMLS.csv,5,6,16,1.0,inf,66.707504,0.03373328,0.0,0.030627871362940276,0.06891271056661562
ComplExUncertainty,datasets/paper_bounded_UMLS.csv,5,6,16,1.0,inf,69.25880551301684,0.035397119748005836,0.004594180704441042,0.030627871362940276,0.06584992343032159
RotatEUncertainty,datasets/paper_bounded_UMLS.csv,5,6,16,1.0,inf,37.338436126708984,0.09228783845901489,0.021439509954058193,0.10566615620214395,0.23430322110652924
TransE,UMLS,5,6,16,N/A,1.0014905017212126,N/A,0.049834512174129486,0.009077155824508321,0.0529500756429652,0.10363086232980333
DistMult,UMLS,5,6,16,N/A,1.0351624207262613,N/A,0.039476580917835236,0.00529500756429652,0.0340393343419062,0.0718608169440242
