Model,Dataset,Function,Epochs,Embedding Dims,Batch Size,Margin,Loss,Mean Rank,MRR,Hits@1,Hits@5,Hits@10
TransEUncertainty,datasets/UMLS_random_[0;1]__with_confidence.csv,train_and_evaluate,10,4,16,1.0,8.15583596556731,51.643185,0.056458548,0.010719754977029096,0.05972434915773354,0.10566615620214395
DistMultUncertainty,datasets/UMLS_random_[0;1]__with_confidence.csv,train_and_evaluate,10,4,16,1.0,8.254358272189679,63.50383,0.038791195,0.004594180704441042,0.03522205206738132,0.07044410413476264
ComplExUncertainty,datasets/UMLS_random_[0;1]__with_confidence.csv,train_and_evaluate,10,4,16,1.0,0.6947996591663231,70.14395099540582,0.03300209743596209,0.006125574272588055,0.02450229709035222,0.055130168453292494
RotatEUncertainty,datasets/UMLS_random_[0;1]__with_confidence.csv,train_and_evaluate,10,4,16,1.0,0.3324949424308927,35.0474739074707,0.08076957613229752,0.009188361408882083,0.10107197549770292,0.18989279866218567
TransE,train_and_evaluate,UMLS,10,4,16,N/A,1.022336455667677,N/A,0.04670735076069832,0.012859304084720122,0.04084720121028744,0.08698940998487141
DistMult,train_and_evaluate,UMLS,10,4,16,N/A,1.0239273931351176,N/A,0.04551313444972038,0.01059001512859304,0.040090771558245086,0.09152798789712557
ComplEx,train_and_evaluate,UMLS,10,4,16,N/A,0.870808134232562,N/A,0.0337531641125679,0.00680786686838124,0.0226928895612708,0.05068078668683813
RotatE,train_and_evaluate,UMLS,10,4,16,N/A,0.687840243104411,N/A,0.0796080008149147,0.014372163388804841,0.09304084720121028,0.21331316187594554
