Model,Dataset,Function,Epochs,Embedding Dims,Batch Size,Margin,Loss,Mean Rank,MRR,Hits@1,Hits@5,Hits@10
TransEUncertainty,datasets/paper_bounded_UMLS.csv,train_and_evaluate_contrastive,10,5,512,1.0,1.4838141798973083,65.86677,0.038146593,0.0015313935681470138,0.036753445635528334,0.07963246554364471
DistMultUncertainty,datasets/paper_bounded_UMLS.csv,train_and_evaluate_contrastive,10,5,512,1.0,1.552072634299596,64.28024,0.043270975,0.007656967840735069,0.03828483920367534,0.07503828483920368
ComplExUncertainty,datasets/paper_bounded_UMLS.csv,train_and_evaluate_contrastive,10,5,512,1.0,2.729836960633596,65.70444104134762,0.04599158622307159,0.010719754977029096,0.036753445635528334,0.08728943338437979
TransE,UMLS,train_and_evaluate_contrastive,10,5,512,N/A,1.1079881949858232,N/A,0.05141616985201835,0.015128593040847202,0.05068078668683813,0.08547655068078669
DistMult,UMLS,train_and_evaluate_contrastive,10,5,512,N/A,1.0744999755512585,N/A,0.033267080783843994,0.00529500756429652,0.02723146747352496,0.05219364599092285
ComplEx,UMLS,train_and_evaluate_contrastive,10,5,512,N/A,1.6671124263243242,N/A,0.038950927555561066,0.007564296520423601,0.0340393343419062,0.06429652042360061
