Model,Dataset,Epochs,Embedding Dims,Batch Size,Margin,Loss,Mean Rank,MRR,Hits@1,Hits@5,Hits@10
TransEUncertainty,datasets/paper_logistic_UMLS.csv,5,6,16,1.0,13.575706805224003,60.727413,0.041839078,0.007656967840735069,0.033690658499234305,0.07044410413476264
DistMultUncertainty,datasets/paper_logistic_UMLS.csv,5,6,16,1.0,14.054518754067628,68.683,0.03253259,0.0015313935681470138,0.027565084226646247,0.06738131699846861
ComplExUncertainty,datasets/paper_logistic_UMLS.csv,5,6,16,1.0,1.2049594613844934,68.62174578866768,0.036609114068143,0.006125574272588055,0.030627871362940276,0.06278713629402756
RotatEUncertainty,datasets/paper_logistic_UMLS.csv,5,6,16,1.0,0.49642571150932624,36.90045928955078,0.08051031082868576,0.010719754977029096,0.09188361408882083,0.20826952159404755
TransE,UMLS,5,6,16,N/A,1.004767293030499,N/A,0.04585753008723259,0.009077155824508321,0.039334341906202726,0.0832072617246596
DistMult,UMLS,5,6,16,N/A,1.041176831246885,N/A,0.04167552664875984,0.01059001512859304,0.03479576399394856,0.07261724659606657
ComplEx,UMLS,5,6,16,N/A,1.2505029652016295,N/A,0.031726278364658356,0.0045385779122541605,0.01664145234493192,0.048411497730711045
RotatE,UMLS,5,6,16,N/A,0.7258322922730007,N/A,0.08856808394193649,0.023449319213313162,0.10287443267776097,0.20574886535552195
