Model,Dataset,Epochs,Embedding Dims,Batch Size,Margin,Loss,Mean Rank,MRR,Hits@1,Hits@5,Hits@10
TransEUncertainty,datasets/paper_bounded_UMLS.csv,5,6,16,1.0,193.63865177805832,53.47473,0.04421209,0.0030627871362940277,0.039816232771822356,0.08728943338437979
DistMultUncertainty,datasets/paper_bounded_UMLS.csv,5,6,16,1.0,194.87365387707223,70.61562,0.0328491,0.004594180704441042,0.026033690658499236,0.05666156202143951
ComplExUncertainty,datasets/paper_bounded_UMLS.csv,5,6,16,1.0,1.770046987184664,66.86370597243491,0.0426696235670979,0.010719754977029096,0.036753445635528334,0.07963246554364471
RotatEUncertainty,datasets/paper_bounded_UMLS.csv,5,6,16,1.0,0.7331232995521731,28.482389450073242,0.0972466692328453,0.015313935681470138,0.11944869831546708,0.27565082907676697
TransE,UMLS,5,6,16,N/A,0.9907969272026986,N/A,0.04802636802196503,0.00680786686838124,0.049167927382753406,0.10363086232980333
DistMult,UMLS,5,6,16,N/A,1.038952594337288,N/A,0.0435183085501194,0.009833585476550681,0.037065052950075644,0.08396369137670197
ComplEx,UMLS,5,6,16,N/A,1.2799701131194647,N/A,0.03713952377438545,0.006051437216338881,0.025718608169440244,0.06278366111951589
RotatE,UMLS,5,6,16,N/A,0.7281440223104383,N/A,0.09196463972330093,0.023449319213313162,0.12178517397881997,0.2201210287443268
