Model,Dataset,Function,Epochs,Embedding Dims,Batch Size,Margin,Loss,Mean Rank,MRR,Hits@1,Hits@5,Hits@10
TransEUncertainty,datasets/paper_bounded_UMLS.csv,train_and_evaluate_softplus,1,50,16,1.0,nan,62.324654,0.051599365,0.019908116385911178,0.03828483920367534,0.0781010719754977
DistMultUncertainty,datasets/paper_bounded_UMLS.csv,train_and_evaluate_softplus,1,50,16,1.0,1.134143988561371,68.61256,0.037011728,0.0,0.03522205206738132,0.07197549770290965
ComplExUncertainty,datasets/paper_bounded_UMLS.csv,train_and_evaluate_softplus,1,50,16,1.0,9.08554206011088,70.6676875957121,0.042773842647015545,0.010719754977029096,0.039816232771822356,0.07656967840735068
TransE,UMLS,train_and_evaluate_softplus,1,50,16,N/A,1.0751095831028523,N/A,0.04083486646413803,0.0,0.038577912254160365,0.08850226928895613
DistMult,UMLS,train_and_evaluate_softplus,1,50,16,N/A,1.0243213275458916,N/A,0.04310833290219307,0.009077155824508321,0.040090771558245086,0.0794251134644478
ComplEx,UMLS,train_and_evaluate_softplus,1,50,16,N/A,5.494919751319417,N/A,0.04172089323401451,0.009833585476550681,0.0340393343419062,0.07866868381240545
