Model,Dataset,Epochs,Embedding Dims,Batch Size,Margin,Loss,Mean Rank,MRR,Hits@1,Hits@5,Hits@10
TransEUncertainty,datasets/paper_bounded_UMLS.csv,100,50,512,1.0,3564.4054565429688,32.656967,0.08077637,0.0,0.11179173047473201,0.24042879019908117
DistMultUncertainty,datasets/paper_bounded_UMLS.csv,100,50,512,1.0,3736.1365966796875,55.656967,0.050685458,0.0,0.05666156202143951,0.11485451761102604
ComplExUncertainty,datasets/paper_bounded_UMLS.csv,100,50,512,1.0,2.5113919973373413,63.15926493108729,0.04304626198631508,0.009188361408882083,0.033690658499234305,0.07350689127105667
RotatEUncertainty,datasets/paper_bounded_UMLS.csv,100,50,512,1.0,0.4244416803121567,14.330780982971191,0.14172478020191193,0.022970903522205207,0.20673813169984687,0.4517610967159271
TransE,UMLS,100,50,512,N/A,0.19270760091868314,N/A,0.1532285213470459,0.029500756429652043,0.2443267776096823,0.44780635400907715
DistMult,UMLS,100,50,512,N/A,0.6604368469931863,N/A,0.17515727877616882,0.05521936459909228,0.27155824508320725,0.46444780635400906
ComplEx,UMLS,100,50,512,N/A,2.1204137693751943,N/A,0.03892943635582924,0.00832072617246596,0.031013615733736764,0.06505295007564296
RotatE,UMLS,100,50,512,N/A,0.31782489202239295,N/A,0.1439712643623352,0.030257186081694403,0.19969742813918306,0.45310136157337366
