Model,Dataset,Epochs,Embedding Dims,Batch Size,Margin,Loss,Mean Rank,MRR,Hits@1,Hits@5,Hits@10
TransEUncertainty,datasets/paper_bounded_UMLS.csv,100,50,512,1.0,3762.646728515625,38.74885,0.06766652,0.0,0.08422664624808576,0.19448698315467075
DistMultUncertainty,datasets/paper_bounded_UMLS.csv,100,50,512,1.0,3823.102783203125,63.398163,0.042293724,0.0,0.0444104134762634,0.11485451761102604
ComplExUncertainty,datasets/paper_bounded_UMLS.csv,100,50,512,1.0,1.5187671184539795,57.150076569678404,0.05970801287921813,0.013782542113323124,0.06278713629402756,0.12098009188361408
RotatEUncertainty,datasets/paper_bounded_UMLS.csv,100,50,512,1.0,0.42122092843055725,29.186830520629883,0.10266190022230148,0.021439509954058193,0.10872894333843798,0.30015313625335693
TransE,UMLS,100,50,512,N/A,0.18351611495018005,N/A,0.1580541431903839,0.031013615733736764,0.2428139183055976,0.4546142208774584
DistMult,UMLS,100,50,512,N/A,0.6755629615350203,N/A,0.16093844175338745,0.048411497730711045,0.2291981845688351,0.44251134644478063
ComplEx,UMLS,100,50,512,N/A,2.0625510107387197,N/A,0.03575160354375839,0.00529500756429652,0.029500756429652043,0.0529500756429652
RotatE,UMLS,100,50,512,N/A,0.3320921876213767,N/A,0.13459526002407074,0.03177004538577912,0.1800302571860817,0.40998487140695916
