Model,Dataset,Function,Epochs,Embedding Dims,Batch Size,Margin,Loss,Mean Rank,MRR,Hits@1,Hits@5,Hits@10
TransEUncertainty,datasets/UMLS_agree___with_confidence.csv,train_and_evaluate,10,4,16,1.0,3.189681188567825,58.666157,0.04556218,0.006125574272588055,0.0444104134762634,0.08269525267993874
DistMultUncertainty,datasets/UMLS_agree___with_confidence.csv,train_and_evaluate,10,4,16,1.0,3.4061712113249563,66.50842,0.040731825,0.006125574272588055,0.03828483920367534,0.06891271056661562
ComplExUncertainty,datasets/UMLS_agree___with_confidence.csv,train_and_evaluate,10,4,16,1.0,0.3031927654519677,66.46554364471669,0.045011752767476744,0.01225114854517611,0.039816232771822356,0.07503828483920368
RotatEUncertainty,datasets/UMLS_agree___with_confidence.csv,train_and_evaluate,10,4,16,1.0,0.12685625778470674,43.773353576660156,0.07033509761095047,0.009188361408882083,0.08728943338437979,0.17611026763916016
TransE,train_and_evaluate,UMLS,10,4,16,N/A,0.948680226788199,N/A,0.05505211278796196,0.0113464447806354,0.06505295007564296,0.1157337367624811
DistMult,train_and_evaluate,UMLS,10,4,16,N/A,1.0208638299462254,N/A,0.0353112667798996,0.00529500756429652,0.023449319213313162,0.06127080181543117
ComplEx,train_and_evaluate,UMLS,10,4,16,N/A,0.8255320233435719,N/A,0.037994276732206345,0.007564296520423601,0.03177004538577912,0.057488653555219364
RotatE,train_and_evaluate,UMLS,10,4,16,N/A,0.6815589989072706,N/A,0.09154266119003296,0.0226928895612708,0.11195158850226929,0.2216338880484115
