Model,Dataset,Function,Epochs,Embedding Dims,Batch Size,Margin,Loss,Mean Rank,MRR,Hits@1,Hits@5,Hits@10
TransEUncertainty,datasets/paper_bounded_UMLS.csv,train_and_evaluate_softplus,100,50,16,1.0,nan,62.324654,0.051599365,0.019908116385911178,0.03828483920367534,0.0781010719754977
DistMultUncertainty,datasets/paper_bounded_UMLS.csv,train_and_evaluate_softplus,100,50,16,1.0,0.6564911158512468,72.45329,0.03464955,0.0,0.033690658499234305,0.07350689127105667
ComplExUncertainty,datasets/paper_bounded_UMLS.csv,train_and_evaluate_softplus,100,50,16,1.0,6.268607472595961,69.26339969372128,0.033986357997863044,0.0015313935681470138,0.033690658499234305,0.05666156202143951
TransE,UMLS,train_and_evaluate_softplus,100,50,16,N/A,0.1628776493430869,N/A,0.18859973549842834,0.046142208774583963,0.30786686838124055,0.556732223903177
DistMult,UMLS,train_and_evaluate_softplus,100,50,16,N/A,0.5156349397144435,N/A,0.19475869834423062,0.060514372163388806,0.3033282904689864,0.546142208774584
ComplEx,UMLS,train_and_evaluate_softplus,100,50,16,N/A,0.28818808617127456,N/A,0.14074072241783142,0.03252647503782148,0.1815431164901664,0.42511346444780634
