Model,Dataset,Epochs,Embedding Dims,Batch Size,Margin,Loss,Mean Rank,MRR,Hits@1,Hits@5,Hits@10
RotatEUncertainty,datasets/paper_logistic_UMLS.csv,5,6,16,1.0,0.9117958220126836,43.83460998535156,0.0633581355214119,0.006125574272588055,0.07503828483920368,0.15620213747024536
TransE,UMLS,5,6,16,N/A,0.9797767904455676,N/A,0.05533125996589661,0.01361573373676248,0.06127080181543117,0.10892586989409984
DistMult,UMLS,5,6,16,N/A,1.0386539591602022,N/A,0.04144977033138275,0.00832072617246596,0.03555219364599092,0.06883509833585477
ComplEx,UMLS,5,6,16,N/A,1.2546722949282523,N/A,0.03572068735957146,0.0045385779122541605,0.03252647503782148,0.06127080181543117
RotatE,UMLS,5,6,16,N/A,0.7254796330731339,N/A,0.09529701620340347,0.024962178517397883,0.11497730711043873,0.2329803328290469
