Model,Dataset,Function,Epochs,Embedding Dims,Batch Size,Margin,Loss,Mean Rank,MRR,Hits@1,Hits@5,Hits@10
TransEUncertainty,datasets/UMLS_random_[0;1]__with_confidence.csv,train_and_evaluate,1,50,16,1.0,32.28006208461264,61.74426,0.044206005,0.0,0.05053598774885146,0.10260336906584992
DistMultUncertainty,datasets/UMLS_random_[0;1]__with_confidence.csv,train_and_evaluate,1,50,16,1.0,32.53676829519479,67.22818,0.035348408,0.0,0.03215926493108729,0.07197549770290965
ComplExUncertainty,datasets/UMLS_random_[0;1]__with_confidence.csv,train_and_evaluate,1,50,16,1.0,4.156227694662369,66.27258805513017,0.041317854877873574,0.007656967840735069,0.039816232771822356,0.07044410413476264
TransE,UMLS,train_and_evaluate,1,50,16,N/A,1.0800313240179986,N/A,0.045262373983860016,0.0,0.058245083207261725,0.11043872919818457
DistMult,UMLS,train_and_evaluate,1,50,16,N/A,1.0243734907518867,N/A,0.040133487433195114,0.009077155824508321,0.03479576399394856,0.06580937972768533
ComplEx,UMLS,train_and_evaluate,1,50,16,N/A,5.363052005416776,N/A,0.04367280751466751,0.0113464447806354,0.038577912254160365,0.06580937972768533
