Model,Dataset,Function,Epochs,Embedding Dims,Batch Size,Margin,Loss,Mean Rank,MRR,Hits@1,Hits@5,Hits@10
TransEUncertainty,datasets/UMLS_model__ComplEx_with_confidence.csv,train_and_evaluate_contrastive,100,50,16,1.0,0.2862074906411378,16.72588,0.1387839,0.021439509954058193,0.225114854517611,0.41807044410413474
DistMultUncertainty,datasets/UMLS_model__ComplEx_with_confidence.csv,train_and_evaluate_contrastive,100,50,16,1.0,0.23879074305549022,52.947933,0.05983754,0.0,0.0781010719754977,0.17151607963246554
ComplExUncertainty,datasets/UMLS_model__ComplEx_with_confidence.csv,train_and_evaluate_contrastive,100,50,16,1.0,6.0463808556289775,69.42266462480858,0.031770927774572515,0.0015313935681470138,0.026033690658499236,0.05972434915773354
TransE,UMLS,train_and_evaluate_contrastive,100,50,16,N/A,0.16234106876733112,N/A,0.17789381742477417,0.0416036308623298,0.2844175491679274,0.5446293494704992
DistMult,UMLS,train_and_evaluate_contrastive,100,50,16,N/A,0.5189477937536006,N/A,0.19474606215953827,0.05521936459909228,0.3033282904689864,0.540090771558245
ComplEx,UMLS,train_and_evaluate_contrastive,100,50,16,N/A,0.29897128443227955,N/A,0.12457714229822159,0.02042360060514372,0.16565809379727686,0.3653555219364599
