Model,Dataset,Function,Epochs,Embedding Dims,Batch Size,Margin,Loss,Mean Rank,MRR,Hits@1,Hits@5,Hits@10
TransEUncertainty,datasets/UMLS_random_[0;0.5]__with_confidence.csv,train_and_evaluate_gaussian,100,50,16,1.0,2.853615704437961,20.502296,0.1780175,0.05206738131699847,0.2664624808575804,0.46401225114854516
DistMultUncertainty,datasets/UMLS_random_[0;0.5]__with_confidence.csv,train_and_evaluate_gaussian,100,50,16,1.0,2.082855054141913,54.5804,0.052411932,0.0,0.06125574272588055,0.12863705972434916
ComplExUncertainty,datasets/UMLS_random_[0;0.5]__with_confidence.csv,train_and_evaluate_gaussian,100,50,16,1.0,763.5301492317864,68.32159264931087,0.03541733030450692,0.004594180704441042,0.022970903522205207,0.06278713629402756
TransE,UMLS,train_and_evaluate_gaussian,100,50,16,N/A,0.16054040531804956,N/A,0.18482252955436707,0.04084720121028744,0.3101361573373676,0.5438729198184569
DistMult,UMLS,train_and_evaluate_gaussian,100,50,16,N/A,0.5254342073311835,N/A,0.1960340291261673,0.06202723146747353,0.3048411497730711,0.5317700453857791
ComplEx,UMLS,train_and_evaluate_gaussian,100,50,16,N/A,0.2756247027474313,N/A,0.13724946975708008,0.024962178517397883,0.18456883509833585,0.4205748865355522
