Model,Dataset,Function,Epochs,Embedding Dims,Batch Size,Margin,Loss,Mean Rank,MRR,Hits@1,Hits@5,Hits@10
TransEUncertainty,datasets/paper_bounded_UMLS.csv,train_and_evaluate_objective_function,10,4,16,1.0,2.6011025865116846,47.517612,0.059008915,0.010719754977029096,0.05819295558958652,0.13169984686064318
DistMultUncertainty,datasets/paper_bounded_UMLS.csv,train_and_evaluate_objective_function,10,4,16,1.0,0.7976786669991587,60.38591,0.035084493,0.0,0.02450229709035222,0.06584992343032159
ComplExUncertainty,datasets/paper_bounded_UMLS.csv,train_and_evaluate_objective_function,10,4,16,1.0,3.9890472582824854,68.59571209800919,0.03250689845130213,0.0015313935681470138,0.021439509954058193,0.05053598774885146
TransE,UMLS,train_and_evaluate_objective_function,10,4,16,N/A,0.9338760427170736,N/A,0.054676853120326996,0.01059001512859304,0.06505295007564296,0.12405446293494705
DistMult,UMLS,train_and_evaluate_objective_function,10,4,16,N/A,1.0226986252822758,N/A,0.04254375398159027,0.007564296520423601,0.038577912254160365,0.07639939485627836
ComplEx,UMLS,train_and_evaluate_objective_function,10,4,16,N/A,0.8699650258008688,N/A,0.0345427431166172,0.0037821482602118004,0.02723146747352496,0.060514372163388806
RotatE,UMLS,train_and_evaluate_objective_function,10,4,16,N/A,0.6895478118233885,N/A,0.08709339797496796,0.023449319213313162,0.09606656580937972,0.19969742813918306
