Model,Dataset,Function,Epochs,Embedding Dims,Batch Size,Margin,Loss,Mean Rank,MRR,Hits@1,Hits@5,Hits@10
TransEUncertainty,datasets/UMLS_model__TransE_with_confidence.csv,train_and_evaluate,1,50,16,1.0,13.479605587604253,62.721287,0.0403539,0.0,0.04747320061255743,0.09800918836140889
DistMultUncertainty,datasets/UMLS_model__TransE_with_confidence.csv,train_and_evaluate,1,50,16,1.0,16.407611160822537,66.49464,0.03740756,0.0,0.04134762633996937,0.08116385911179173
ComplExUncertainty,datasets/UMLS_model__TransE_with_confidence.csv,train_and_evaluate,1,50,16,1.0,1.6300171588992942,70.10872894333843,0.03691817617643252,0.004594180704441042,0.02909647779479326,0.07197549770290965
TransE,UMLS,train_and_evaluate,1,50,16,N/A,1.0668273846064609,N/A,0.04343460127711296,0.0,0.04387291981845688,0.10287443267776097
DistMult,UMLS,train_and_evaluate,1,50,16,N/A,1.0246504355062005,N/A,0.0434001088142395,0.009833585476550681,0.04311649016641452,0.07791225416036308
ComplEx,UMLS,train_and_evaluate,1,50,16,N/A,5.267112169529032,N/A,0.033117737621068954,0.0030257186081694403,0.02193645990922844,0.057488653555219364
