Model,Dataset,Function,Epochs,Embedding Dims,Batch Size,Margin,Loss,Mean Rank,MRR,Hits@1,Hits@5,Hits@10
TransEUncertainty,datasets/UMLS_random_[0;0.5]__with_confidence.csv,train_and_evaluate,1,50,16,1.0,14.971035834239876,63.554363,0.035830878,0.0,0.02909647779479326,0.08422664624808576
DistMultUncertainty,datasets/UMLS_random_[0;0.5]__with_confidence.csv,train_and_evaluate,1,50,16,1.0,16.989392580545466,65.413475,0.04300735,0.0,0.05053598774885146,0.0995405819295559
ComplExUncertainty,datasets/UMLS_random_[0;0.5]__with_confidence.csv,train_and_evaluate,1,50,16,1.0,2.0474371626649215,67.50995405819296,0.03952736872151752,0.006125574272588055,0.03522205206738132,0.06278713629402756
TransE,UMLS,train_and_evaluate,1,50,16,N/A,1.0553949252228063,N/A,0.04843378439545631,0.0,0.059757942511346446,0.11875945537065052
DistMult,UMLS,train_and_evaluate,1,50,16,N/A,1.0244090674113642,N/A,0.0431523323059082,0.009077155824508321,0.038577912254160365,0.07564296520423601
ComplEx,UMLS,train_and_evaluate,1,50,16,N/A,5.556608407775317,N/A,0.03422759100794792,0.0030257186081694403,0.029500756429652043,0.07110438729198185
