Model,Dataset,Function,Epochs,Embedding Dims,Batch Size,Margin,Loss,Mean Rank,MRR,Hits@1,Hits@5,Hits@10
TransEUncertainty,datasets/UMLS_model__DistMult_with_confidence.csv,train_and_evaluate,1,50,512,1.0,1001.0029271443685,69.2879,0.036108065,0.0,0.039816232771822356,0.07963246554364471
DistMultUncertainty,datasets/UMLS_model__DistMult_with_confidence.csv,train_and_evaluate,1,50,512,1.0,1175.1499786376953,70.465546,0.030290794,0.0,0.02450229709035222,0.05819295558958652
ComplExUncertainty,datasets/UMLS_model__DistMult_with_confidence.csv,train_and_evaluate,1,50,512,1.0,4.31480888525645,65.20061255742726,0.052891490744401665,0.01225114854517611,0.06278713629402756,0.10107197549770292
TransE,UMLS,train_and_evaluate,1,50,512,N/A,1.164613669568842,N/A,0.03562531620264053,0.0,0.04084720121028744,0.07110438729198185
DistMult,UMLS,train_and_evaluate,1,50,512,N/A,1.0276118842038242,N/A,0.04267027601599693,0.009077155824508321,0.04387291981845688,0.07337367624810892
ComplEx,UMLS,train_and_evaluate,1,50,512,N/A,5.824644999070601,N/A,0.04259336739778519,0.00832072617246596,0.04084720121028744,0.08018154311649017
