Model,Dataset,Function,Epochs,Embedding Dims,Batch Size,Margin,Loss,Mean Rank,MRR,Hits@1,Hits@5,Hits@10
TransEUncertainty,datasets/UMLS_logical___with_confidence.csv,train_and_evaluate_divergence,100,50,16,1.0,0.3139008249601592,61.992344,0.037641518,0.0,0.03522205206738132,0.09647779479326186
DistMultUncertainty,datasets/UMLS_logical___with_confidence.csv,train_and_evaluate_divergence,100,50,16,1.0,0.00020751771238713485,45.387444,0.07149916,0.0015313935681470138,0.0995405819295559,0.19754977029096477
ComplExUncertainty,datasets/UMLS_logical___with_confidence.csv,train_and_evaluate_divergence,100,50,16,1.0,0.8421191024877455,70.11485451761102,0.03700031461840795,0.006125574272588055,0.036753445635528334,0.05819295558958652
TransE,UMLS,train_and_evaluate_divergence,100,50,16,N/A,0.15539945826574336,N/A,0.18744103610515594,0.049924357034795766,0.29652042360060515,0.5287443267776096
DistMult,UMLS,train_and_evaluate_divergence,100,50,16,N/A,0.5248824310449004,N/A,0.20690105855464935,0.06883509833585477,0.3260211800302572,0.5726172465960666
ComplEx,UMLS,train_and_evaluate_divergence,100,50,16,N/A,0.2847387622927596,N/A,0.129753977060318,0.0264750378214826,0.16565809379727686,0.3827534039334342
