Model,Dataset,Function,Epochs,Embedding Dims,Batch Size,Margin,Loss,Mean Rank,MRR,Hits@1,Hits@5,Hits@10
TransEUncertainty,datasets/paper_bounded_UMLS.csv,train_and_evaluate_contrastive,10,5,512,1.0,1.5202427605787914,67.951,0.03542526,0.004594180704441042,0.02909647779479326,0.06584992343032159
DistMultUncertainty,datasets/paper_bounded_UMLS.csv,train_and_evaluate_contrastive,10,5,512,1.0,1.5195380449295044,62.739662,0.044690985,0.007656967840735069,0.042879019908116385,0.08269525267993874
ComplExUncertainty,datasets/paper_bounded_UMLS.csv,train_and_evaluate_contrastive,10,5,512,1.0,2.3947431445121765,69.33843797856049,0.049010024411558585,0.015313935681470138,0.04900459418070444,0.08116385911179173
TransE,UMLS,train_and_evaluate_contrastive,10,5,512,N/A,1.1034596941687844,N/A,0.040994368493556976,0.00680786686838124,0.039334341906202726,0.07791225416036308
DistMult,UMLS,train_and_evaluate_contrastive,10,5,512,N/A,1.0825754078951748,N/A,0.042247224599123,0.00832072617246596,0.04236006051437216,0.08169440242057488
ComplEx,UMLS,train_and_evaluate_contrastive,10,5,512,N/A,1.5384325872768054,N/A,0.03895898535847664,0.00832072617246596,0.03252647503782148,0.060514372163388806
