Model,Dataset,Function,Epochs,Embedding Dims,Batch Size,Margin,Loss,Mean Rank,MRR,Hits@1,Hits@5,Hits@10
TransEUncertainty,datasets/paper_bounded_UMLS.csv,train_and_evaluate_loss,10,5,512,1.0,241.85832659403482,62.42879,0.041449018,0.004594180704441042,0.039816232771822356,0.07963246554364471
DistMultUncertainty,datasets/paper_bounded_UMLS.csv,train_and_evaluate_loss,10,5,512,1.0,279.6329739888509,70.3706,0.038435664,0.006125574272588055,0.03522205206738132,0.06738131699846861
ComplExUncertainty,datasets/paper_bounded_UMLS.csv,train_and_evaluate_loss,10,5,512,1.0,0.8474864910046259,67.94946401225116,0.04036046916291135,0.007656967840735069,0.036753445635528334,0.0781010719754977
TransE,UMLS,train_and_evaluate_loss,10,5,512,N/A,1.0989151217720725,N/A,0.04325002804398537,0.00832072617246596,0.04236006051437216,0.07791225416036308
DistMult,UMLS,train_and_evaluate_loss,10,5,512,N/A,1.0781865011562,N/A,0.038820475339889526,0.00832072617246596,0.0340393343419062,0.06354009077155824
ComplEx,UMLS,train_and_evaluate_loss,10,5,512,N/A,1.7142917026172986,N/A,0.04399796947836876,0.009077155824508321,0.04462934947049924,0.08169440242057488
