Model,Dataset,Function,Epochs,Embedding Dims,Batch Size,Margin,Loss,Mean Rank,MRR,Hits@1,Hits@5,Hits@10
TransEUncertainty,datasets/UMLS_model__DistMult_with_confidence.csv,train_and_evaluate_gaussian,100,50,16,1.0,3.036401391029358,17.554365,0.16653433,0.045941807044410414,0.22052067381316998,0.4548238897396631
DistMultUncertainty,datasets/UMLS_model__DistMult_with_confidence.csv,train_and_evaluate_gaussian,100,50,16,1.0,10470.753608847443,68.11485,0.029221013,0.0,0.015313935681470138,0.05359877488514548
ComplExUncertainty,datasets/UMLS_model__DistMult_with_confidence.csv,train_and_evaluate_gaussian,100,50,16,1.0,nan,62.324655436447166,0.051599365820314984,0.019908116385911178,0.03828483920367534,0.0781010719754977
TransE,UMLS,train_and_evaluate_gaussian,100,50,16,N/A,0.16344369737648526,N/A,0.1835804581642151,0.046142208774583963,0.29425113464447805,0.540090771558245
DistMult,UMLS,train_and_evaluate_gaussian,100,50,16,N/A,0.5136730735835854,N/A,0.2039317786693573,0.06505295007564296,0.32299546142208774,0.5590015128593041
ComplEx,UMLS,train_and_evaluate_gaussian,100,50,16,N/A,0.2886542403853378,N/A,0.12360057979822159,0.018910741301059002,0.15431164901664146,0.3812405446293495
