Model,Dataset,Function,Epochs,Embedding Dims,Batch Size,Margin,Loss,Mean Rank,MRR,Hits@1,Hits@5,Hits@10
TransEUncertainty,datasets/UMLS_random_[0.5;1]__with_confidence.csv,train_and_evaluate_divergence,100,50,16,1.0,0.3140431312520219,65.88515,0.030654248,0.0,0.021439509954058193,0.055130168453292494
DistMultUncertainty,datasets/UMLS_random_[0.5;1]__with_confidence.csv,train_and_evaluate_divergence,100,50,16,1.0,0.00041024723601446527,45.82389,0.073792465,0.0015313935681470138,0.10872894333843798,0.20673813169984687
ComplExUncertainty,datasets/UMLS_random_[0.5;1]__with_confidence.csv,train_and_evaluate_divergence,100,50,16,1.0,0.8327167551640583,68.75957120980092,0.03631537641093175,0.004594180704441042,0.02909647779479326,0.05819295558958652
TransE,UMLS,train_and_evaluate_divergence,100,50,16,N/A,0.16306784648471084,N/A,0.18455098569393158,0.046898638426626324,0.2950075642965204,0.5476550680786687
DistMult,UMLS,train_and_evaluate_divergence,100,50,16,N/A,0.5184995639909264,N/A,0.19267135858535767,0.05143721633888049,0.31391830559757944,0.5521936459909228
ComplEx,UMLS,train_and_evaluate_divergence,100,50,16,N/A,0.28817082431875857,N/A,0.12896345555782318,0.025718608169440244,0.16338880484114976,0.40242057488653554
