Model,Dataset,Function,Epochs,Embedding Dims,Batch Size,Margin,Loss,Mean Rank,MRR,Hits@1,Hits@5,Hits@10
TransEUncertainty,datasets/UMLS_ranked_appearances___with_confidence.csv,train_and_evaluate_divergence,100,50,16,1.0,0.32619311903481896,63.2098,0.033790138,0.0,0.02450229709035222,0.06278713629402756
DistMultUncertainty,datasets/UMLS_ranked_appearances___with_confidence.csv,train_and_evaluate_divergence,100,50,16,1.0,0.0002022039729838624,41.64931,0.07426286,0.0015313935681470138,0.10107197549770292,0.21745788667687596
ComplExUncertainty,datasets/UMLS_ranked_appearances___with_confidence.csv,train_and_evaluate_divergence,100,50,16,1.0,0.870928603750856,66.71822358346095,0.03731968892485255,0.0030627871362940277,0.033690658499234305,0.07197549770290965
TransE,UMLS,train_and_evaluate_divergence,100,50,16,N/A,0.16072016661883864,N/A,0.17940278351306915,0.0416036308623298,0.2897125567322239,0.5468986384266263
DistMult,UMLS,train_and_evaluate_divergence,100,50,16,N/A,0.5257839024798271,N/A,0.20179307460784912,0.07110438729198185,0.3146747352496218,0.5423600605143721
ComplEx,UMLS,train_and_evaluate_divergence,100,50,16,N/A,0.2866329161530258,N/A,0.1310986429452896,0.02798789712556732,0.16792738275340394,0.3812405446293495
