Model,Dataset,Epochs,Embedding Dims,Batch Size,Margin,Loss,Mean Rank,MRR,Hits@1,Hits@5,Hits@10
TransEUncertainty,datasets/paper_bounded_UMLS.csv,100,50,512,1.0,632.9312896728516,62.24196,0.03943998,0.0,0.036753445635528334,0.08422664624808576
DistMultUncertainty,datasets/paper_bounded_UMLS.csv,100,50,512,1.0,503.6359405517578,58.65084,0.03825375,0.0,0.027565084226646247,0.07963246554364471
ComplExUncertainty,datasets/paper_bounded_UMLS.csv,100,50,512,1.0,4.766003847122192,68.01837672281776,0.0388981627308061,0.004594180704441042,0.04134762633996937,0.07350689127105667
RotatEUncertainty,datasets/paper_bounded_UMLS.csv,100,50,512,1.0,0.0924512967467308,20.358346939086914,0.14033587276935577,0.03215926493108729,0.2006125574272588,0.430321604013443
TransE,UMLS,100,50,512,N/A,0.18887680904431778,N/A,0.14316388964653015,0.01739788199697428,0.22692889561270801,0.4712556732223903
DistMult,UMLS,100,50,512,N/A,0.6422977122393522,N/A,0.16503962874412537,0.049924357034795766,0.2443267776096823,0.4546142208774584
ComplEx,UMLS,100,50,512,N/A,2.0765718655152754,N/A,0.035954251885414124,0.0037821482602118004,0.028744326777609682,0.06354009077155824
RotatE,UMLS,100,50,512,N/A,0.3084460307251323,N/A,0.1450440138578415,0.03252647503782148,0.21633888048411498,0.4409984871406959
