Model,Dataset,Function,Epochs,Embedding Dims,Batch Size,Margin,Loss,Mean Rank,MRR,Hits@1,Hits@5,Hits@10
TransEUncertainty,datasets/UMLS_random_[0;1]__with_confidence.csv,train_and_evaluate_softplus,100,50,16,1.0,nan,62.324654,0.051599365,0.019908116385911178,0.03828483920367534,0.0781010719754977
DistMultUncertainty,datasets/UMLS_random_[0;1]__with_confidence.csv,train_and_evaluate_softplus,100,50,16,1.0,1.1414549190389074,68.98775,0.03270299,0.0,0.030627871362940276,0.06738131699846861
ComplExUncertainty,datasets/UMLS_random_[0;1]__with_confidence.csv,train_and_evaluate_softplus,100,50,16,1.0,6.025835962075254,69.67840735068913,0.036656990129073176,0.006125574272588055,0.030627871362940276,0.06125574272588055
TransE,UMLS,train_and_evaluate_softplus,100,50,16,N/A,0.1582161128703802,N/A,0.18146058917045593,0.0453857791225416,0.28819969742813917,0.5317700453857791
DistMult,UMLS,train_and_evaluate_softplus,100,50,16,N/A,0.5212002312478844,N/A,0.20491015911102298,0.06656580937972768,0.32223903177004537,0.5552193645990923
ComplEx,UMLS,train_and_evaluate_softplus,100,50,16,N/A,0.2893179087139712,N/A,0.13616016507148743,0.03177004538577912,0.18456883509833585,0.3888048411497731
