Model,Dataset,Function,Epochs,Embedding Dims,Batch Size,Margin,Loss,Mean Rank,MRR,Hits@1,Hits@5,Hits@10
TransEUncertainty,datasets/paper_bounded_UMLS.csv,train_and_evaluate_objective,10,5,512,1.0,0.13424979026118913,66.465546,0.05129794,0.013782542113323124,0.05053598774885146,0.0903522205206738
DistMultUncertainty,datasets/paper_bounded_UMLS.csv,train_and_evaluate_objective,10,5,512,1.0,0.15534704675277075,68.05666,0.035523508,0.004594180704441042,0.027565084226646247,0.06278713629402756
ComplExUncertainty,datasets/paper_bounded_UMLS.csv,train_and_evaluate_objective,10,5,512,1.0,0.3385799055298169,71.17764165390506,0.032351048032657655,0.0030627871362940277,0.026033690658499236,0.055130168453292494
TransE,UMLS,train_and_evaluate_objective,10,5,512,N/A,1.102829012003812,N/A,0.038030847907066345,0.00832072617246596,0.02798789712556732,0.06656580937972768
DistMult,UMLS,train_and_evaluate_objective,10,5,512,N/A,1.0757980238307605,N/A,0.04057356342673302,0.007564296520423601,0.03555219364599092,0.0680786686838124
ComplEx,UMLS,train_and_evaluate_objective,10,5,512,N/A,1.6846809712323276,N/A,0.03647927567362785,0.006051437216338881,0.025718608169440244,0.059757942511346446
