Model,Dataset,Epochs,Embedding Dims,Batch Size,Margin,Loss,Mean Rank,MRR,Hits@1,Hits@5,Hits@10
RotatEUncertainty,datasets/paper_logistic_UMLS.csv,5,6,16,1.0,0.4033506082613831,31.871362686157227,0.11909996718168259,0.030627871362940276,0.15313935681470137,0.31852987408638
TransE,UMLS,5,6,16,N/A,1.010520251982051,N/A,0.04010208696126938,0.0030257186081694403,0.036308623298033284,0.0794251134644478
DistMult,UMLS,5,6,16,N/A,1.0392443343905584,N/A,0.04479553923010826,0.01059001512859304,0.04462934947049924,0.0794251134644478
ComplEx,UMLS,5,6,16,N/A,1.2532860506897323,N/A,0.038840509951114655,0.00529500756429652,0.040090771558245086,0.07715582450832073
RotatE,UMLS,5,6,16,N/A,0.7351710260645744,N/A,0.08487533777952194,0.02193645990922844,0.094553706505295,0.20121028744326777
