Model,Dataset,Function,Epochs,Embedding Dims,Batch Size,Margin,Loss,Mean Rank,MRR,Hits@1,Hits@5,Hits@10
TransEUncertainty,datasets/UMLS_model__TransE_with_confidence.csv,train_and_evaluate_softplus,100,50,16,1.0,nan,62.324654,0.051599365,0.019908116385911178,0.03828483920367534,0.0781010719754977
DistMultUncertainty,datasets/UMLS_model__TransE_with_confidence.csv,train_and_evaluate_softplus,100,50,16,1.0,0.6025557848017501,66.40122,0.03732054,0.0,0.036753445635528334,0.07350689127105667
ComplExUncertainty,datasets/UMLS_model__TransE_with_confidence.csv,train_and_evaluate_softplus,100,50,16,1.0,4.873013334429783,66.80551301684532,0.039288097502899175,0.007656967840735069,0.030627871362940276,0.055130168453292494
TransE,UMLS,train_and_evaluate_softplus,100,50,16,N/A,0.16240598014527302,N/A,0.18945182859897614,0.05068078668683813,0.3063540090771558,0.5325264750378215
DistMult,UMLS,train_and_evaluate_softplus,100,50,16,N/A,0.5164384079948525,N/A,0.20590773224830627,0.06278366111951589,0.33055975794251136,0.5635400907715582
ComplEx,UMLS,train_and_evaluate_softplus,100,50,16,N/A,0.2883096047294286,N/A,0.13080406188964844,0.025718608169440244,0.17246596066565809,0.4031770045385779
